userName,score,at,content
Mardiono 07,5,2022-12-22 06:25:03,Assalamualaikum perkenalkan nama saya bilqis game nya bagus cuman kalo di donwload lama bgt dan pas sudah selesai di donwload mainan nya seru bgt tpi tlg di perbaiki lagi ya karena saya suka bgt game ini yg bikin saya pintar dan cerdas tidak di itung aku memang sudah bisa dari umur 4 tahun sudah di ajarin sama mamah saya tapi ade saya jadi cerdas bgt dan pintar lo gk ky kalian semua pada bodoh dan tolol ade sy mah pintar gk kaya kalian tolol bodoh sekian ini sy kasih rating 5 wasalammualaikum 55
Ronny Kurniawan,5,2022-12-15 10:24:43,Aku bisa menghitung matematika otak yang cerdas. Kata bu guru bisa cepat belajarnya.
Putri Indah10,5,2022-12-15 04:54:27,Bagus sekali sih aplikasi ini bisa membantu anak biar bisa belajar matematika tanpa perlu les sekolah
Nuzulia Nizar,5,2022-12-12 15:46:35,Mantap banget...... mudah untuk dipahami dan tipe soalnya juga banyak
Namaki Jusaro,5,2022-12-12 03:31:18,Aplikasinya bagus sekali dulu saya ranking terakhir pas belum pakai apklikasi ini sekarang aku masuk ranking sepuluh besar saya sangat suka sekali sama aplikasi ini tank you developer
sebatas mimpi,5,2022-12-10 14:22:05,"Games bagus, aku download buat anakku dan dia suka, jadi bisa main sambil belajar,,"
zip ready,5,2022-12-08 12:14:41,"Bagus sekali,anak saya suka sekali berhitung sehingga membuat dia memainkan game ini, aplikasi bagus,penuh tantangan dari yang mudah,sedang sampai yang tersulit,menarik dari segi bilangan dan warna menjadikan tidak bosan untuk memainkannya."
Giveny Kisi Channel,5,2022-12-05 04:45:50,"Aku suka banget dengan game ini kembangkan trs ya game ini,aku suka karena sangat mendidik pelajaran game matematika aku mendapatkan nilai dengan baik biasanya 100 paling sedikit 90 sukaa banget dengan game ini"
Junita Sinaga,5,2022-12-04 13:25:57,Aplikasi yah bagus dan menambah pengetahuan dalam pelajaran muatan matematika.☺☺☺.suka.
Hafrizal Yuliani,5,2022-12-04 13:15:14,Makasih ya udah bikin permainan ini aku suka padahal aku belum diajarin pembagian tapi sekarang aku bisa aku suka banget MTK
Yanto Yanto,5,2022-12-04 13:05:07,Gemnya bagus banget aku bisa materi kls 4-6 padahal aku kelas 3 sd dan sekali lagi buat gem ini bagus bisa meteri yang belum diketahui seperti kelas 6-3 sma
Reihan Rehan,5,2022-12-04 05:48:03,Hai... menurutku game bagus apalagi buat aku yg masih agak susah saat mengerjakan soal ² mtk .... sekian thx 😁😁
Yuning Tresnowati,5,2022-12-02 11:31:36,"Bagusss BINGITTT cocok to belajar anakq yar makin terasah kecerdasan logis matematisnya karena anakq baru kelas 1 SD suka bangett berhitung sejak di TKB udah bakat berhitung cepat to mencongak n q beli buku teruzz but now lebih baik mainin game ini jadi ntr di kelas 2 dst jadi tambah pintar Krn dah belajar MTK di game ini tq very much,, bozz..."
Lailia Rahma,3,2022-11-29 01:14:05,"Soal-soalnya bagus dan bisa membuat anak cepat paham hanya saja (kadang-kadang) penulisan soal tidak sesuai dengan dipembahasan. Di soal tertulis tidak ada pangkat (misalnya) ternyata waktu buka pembahasan ada, seperti ini jadi menyulitkan/membingungkan anak ketika mencari jawaban benar. Semoga ke depan bisa lebih baik lagi."
Nayla Oktaviani,5,2022-11-22 05:43:10,Gamenya bagus banget(๑♡⌓♡๑) ada game yg paling saya suka yaitu kalau 2 pemain itu seru bgt kaya tanding sama lawan jd kaya cepet² pokoknya seru banget deh kalian wajib coba dan sekalian download yaaaa 🤩
An-nass Bimo,5,2022-11-21 17:18:57,"Mantap👍👍👍 Terimakasih yang membuat APK ini, sangat membantu sekali buat anak saya khususnya, dan anak² yang lain pada umumnya."
Budiman Budi,5,2022-11-21 10:27:34,Trimakasih aplikasi ini udah sangat membantu pola pikir anak kami dng belajar yg menyenangkan dari aplikasi ini
AMANDA DEA EKA PRASETYA,5,2022-11-18 12:47:27,Game nya seru dan kita bisa menhapalkan matematika. Karena aplikasi ini saya bisa belajar matematika Bagus banget
AGUS MADIUN,5,2022-11-18 06:06:15,Aku suka gem ini aku pas kelas 2belun bisa padalan aku sudah dipelajari guru tapi aku masih belum paham sekarang aku sudah paham kerana aku lihat gem matematika ini ter nyata aku sudh bisa sekarang aku kelas 3 sudah hafal matemTika
Elisabeth Amelia,5,2022-11-13 09:00:34,Gamenya bagus banget aku suka buat belajar juga seruuu aku buka tiap hari Awalnya aku ga paham pembagian sekarang paham Aku juga jadi tau materi kelas 4-6 padahal aku masih kelas 3 Pokoknya game ini seru kayak ga lagi belajar Kalo bisa diperbarui agar ada SMP dan SMA Segitu rate dari saya Terimakasih
Afika Nurahma,5,2022-11-13 04:21:34,Hai game matematika saya sangat terimah kasih atas permainannya karna bermanfaat.Berkat game ini saya mendapatkan peringkat satu itu karna kalian yang telah mengajarkan anak indonesia menjadi lebih hebat dan lebih percaya diri bahwa dia bisa melalui masa - masanya yang begitu berarti dan saya sekali lagi mengucapkan terimah kasih👍👑
Nur Annisa Putri,5,2022-11-12 22:15:31,"Hi,sya suka game matematika ini udah seru dapet ilmu lg makannya kalian instal game ini ya... Terimakasih developer sudah membuat game matematika ini..."
Sidharta krisna dharmawan,5,2022-11-11 11:25:31,Game nya bagus kak tapi kalosalah langsung di koreksi dong kak dan satu lagi kadang kadang tiba tiba keluar sendiri ituaja semangat bikin game nya kak makasih
Dzakyya Dzakyya,5,2022-11-10 10:41:45,Seru banget main game ini bosal bikin aku jadi juara 1 disekolah gam ini memang mantap jiwa disitu banyak ditemui matamatikal hebat ✨😍✨😍✨😍✨😍✨😍✨😍✨😍✨😍 tapi banyak iklan si tapi seru aku sekarang bisa belajar selamat belajar
tata Andrie,5,2022-11-07 11:31:16,Sangat berpendidikan sekali bisa tau matamatika jadi mudah belajar matematika
Dewi Rhizma,5,2022-11-06 01:15:37,Game nya bagus banget Ada matematika yang paling seru itu yang matematika seru aku paling suka yang itu dan Operasi campur dan juga Aljabar pokoknya bagus banget game nya aku jadi pintar Kelas 3-6 padahal Aku masih kelas 2 SD Tapi ini aku mau Jadi sampai Kelas 12 soalnya Aku mau matematika yang SMP Dan SMA terus tambahin banyak matematikanya soalnya aku suka Matematika Aku suka banget Game ini setiap hari Aku main game ini Bagus banget Tapi kenapa ya Aljabar itu susah banget .ok.Terima kasih ya
Akun Email,5,2022-11-04 10:21:46,Game ini sangat membuat otak ku encer jadi aku jago matematika aku sangat menyukai dengan game ini membuat semua orang cerdas . Aku kasih bintang lima deh
Dinda Arianty,5,2022-11-02 11:59:20,Game nya seruu di sekolah juga gitu soal nya jadi udah tau deh rumus rumus nya makasih 😁😁
Atifatun Nabila,5,2022-11-01 06:58:09,Sumpah gem nya bikin aku tau meng hitung cepat terus mainnya gak bosen kata aku mah soal soal matematika nya banyak banget main HP sambil belajar wajib donwload sih kalian soal nya seru banget 😆😄😉👍
Hevinna Illmi,2,2022-11-01 00:42:58,"Bagi saya, di tingkat anak sd kelas 3 itu ada yang pemahaman MTK nya masih rendah. Kalau pakai apps ini, ini hanya menjadi permainan tebak-tebakan, bukan game alternatif belajar MTK. Saya sudah coba dan tehnik pembelajarannya hanya memunculkan tanda warna tanpa penjelasan yang sederhana. Jika dimainkan oleh anak yg pemahaman MTK nya rendah, pasti tidak akan di mainkan lagi apps ini. Jadi, yang mau belajar MTK tanpa guru, apps ini kurang rekomend."
Andi Setyono,5,2022-10-29 00:44:48,Terimakasih telah memberikan game matematika yang sangat membatu anak -anak belajar dalam matematika ..boleh usul dan saran kalau bisa untuk menambah kan profil nya agar kapasitas nya bisa lebih dari 30 peserta..
Rab Margo,5,2022-10-24 19:24:59,Aku suka game ini bagus menambahkan dirosasi yang penting bagi anak yang belum bisa perkalian atau pembagian pengurang dan lain nya okeh kalo gitu sekian dari kamu wassalamu'alaikum warahmatullahi wa barokatu🙏🤝
Budididik Setiono,4,2022-10-22 03:42:35,ini sangat cocok untuk bisa mempelajari matematika dan membuatku mudah menjawab ujian semester genap ☺️☺️
Mrs Faridah,5,2022-10-21 14:57:30,Ini seru banget aku menjadi pintar dan aku juga jadi nya bisa dapet seratus nilai pelajaran mate matika nya terimakasih 🙏
Bima Arya Pratama,5,2022-10-21 08:12:35,game matamatika ini bermanfaat banget bisa buat belajar makasi yang udah buat game ini💯💯❤️
Herni Lestari,5,2022-10-19 06:49:11,aku suka banget sama games nya bisa asah otak aku dulu aku gak bisa operasi campuran sekarang bisa ternyata gampang banget gak ada yang susah makasih yang udah buat games ini 👍
Sutrima junaedi,4,2022-10-17 07:20:37,"Maakasih ya dev udah bikin game kyk ginih cocok untuk anak2,di updet dong dev jadikan ada beberapa kelas sekarang tambahin mode khusus orang tua buat bisa lebih belajat mtk✔"
demirizkiwijaya demirizkiwijaya,5,2022-10-17 00:00:25,Bagus banget jadi mempermudah untuk belajar buat anak dan orang tua ngebuat soal jadi mudah
Yanti Yanti,5,2022-10-16 06:42:01,Saya sangat suka game ini membuat anak anak pintar dan tidak memakai data yang banyak dan juga tak membuat anak anak menjadi malas belajar terimakasih dengan game 😇😚
Safa Amelia,5,2022-10-16 05:22:04,Saya setuju adanya game matematika ini karna untuk mudah bagi anak²untuk mengetahui penjumlahan pengurangan pembagian dan perkalian
Riko Sengly,5,2022-10-15 11:33:51,Aku suka game ini bisa membantu saya buat belajar saya aja yang kelas 4b yanv dlu nya saya belum bisa perkalian sama pembagian akhir2 ini saya bisa deh saya selalu dapat nilai 100 terus karna berkat game ini guru saya sampai puji saya guru saya bangga karna saya pintar
Ima imul,5,2022-10-14 04:52:57,perkenalkan nama aku Isma yuliatun N.F aku kelas 5 sd aku suka sama game matematika karena membuat aku jadi bisa perkalian sama pembagian..
Arva Duasatu,5,2022-10-13 00:50:37,Game nya bagus bgt aku yang tadinya ngak lancar menghitung jadi nya menghitungnya cepet Di Download ya biar lancar waktu PAT / PAS atau pelajaran matematika agar lancar MKS 👐😸👍👍
Haviza Febriana,5,2022-10-10 12:02:41,Permainan ini sangat bagus dan semoga bermanfaat bagi yang sekolah dan saya suka game ini karena UTS ku pake paragapet jadi aku doa in yang sekolah nilai nya bagus bagus dan semoga bermanfaat bagi game ini
Rafa Od,5,2022-10-06 15:44:59,"Game nya sangat berguna untuk belajar,apalagi untuk yang belum tau matematika,ini cocok banget buat anak"" yang belum ngerti matematika"
Ruri Mufridah,5,2022-10-06 11:49:39,Saya sangat suka permainan ini bisa membantu menghitung persoalan yang diberikan kepada bu guru aku jadi bisa mengoper soal soal yang sulit dan membuat adhiku belajar lebih giat✌👍👍👍
Kiran Dinanti,5,2022-10-05 06:29:06,Game nya bagus sih menurut aku aku kls 6 jadi bisa bagu bgt si menurut aku jadi bisa matematika
Solihin Halim,5,2022-10-04 14:29:18,"game ini sangat baik di gunakan buat anak usia dini agar mereka selalu mengasah dan akan terus mengingatnya, mereka pun juga bisa mengetahui cara atau bagaimana menyelesaikan soal"" dengan cepat dan mudah terimakasih buat yang membuat game ini saya sangat mengapresiasi gamesnya😊😙"
Citra Zaneta,5,2022-10-04 11:43:16,Makasih ya yang udh membuat game ini aku jadi bisa perkalian bilangan di soal ulangan matematika dan aku juga dapat nilai 💯 karena game ini 😘😘💗👍💯💯💯
Sana Sella,3,2022-10-01 12:33:25,Game ini sangat enak di mainkan sekalian juga belajar perkalian/pengurangan/tambah-tambahan/bagi bagian/ desimal pokok nya enak deh cobain deh selamat mencoba
Fadillah Novi,5,2022-09-29 12:33:14,Aplikasi ini sangat membantu pelajaran matematika tapi lebih baik ada kelas 6 pecahan bulat nya okey Terima kasih 🙏
Habibi Abi,5,2022-09-26 08:21:18,Aku suka bangget deh sama game ini apalagi saya main game ini pasti jadi pintar banget terima kasih semua nya semoga jadi pintar terus doa in ya semoga bisa jadi pintar amin
Is Nik,5,2022-09-25 23:08:21,Game nya sangat cocok untuk anak berusia 5 sampai 12 tahun anak anak pada suka dengan game ini sangat cocok untuk anak anak dan game nya seru
Rinda Saftri,5,2022-09-24 22:51:28,Ini Sangat Membantu Saya Dalam Belajar Matematika.Mohon Untuk Menambah Kan Pembulatan Ya!
awal koto,5,2022-09-24 09:29:13,"Aplikasi ini sanagat membantu untuk saya berkat ini saya sudah bisa PTS karena game ini,kalian harus dowload game ini karena game ini seru bisa uji kepintaran kitaaa 😍🤩🥰🥰👍🏻👍🏻👍🏻 Ayah dan ibu saya bangga melihat hasil ujian PTS sayaaa 🤩🥰 terima kasih yahhh 🤩🤩🥰 game nya sangat bagusssss 🥰🤩👍🏻😍"
Titin Hartati,5,2022-09-23 08:34:40,Aku suka game ini seru bangettt permainan ini bisa membantu kita.kalian harus Download permainan ini ya Terimakasih yang sudah membuat permainan ini saya kasih bintang 5
Saipul Roji,5,2022-09-22 11:44:11,"Teryata Game matematika bagus banget malah aku suka bermanfaat banget loh gasy. Aku yang kelas 4 perkalian 1 sampai 10 langsung bisa berkat game ini Download aja bagus dijamin merkalian, pembagian dan pecahan."
Embun Pagi,5,2022-09-21 11:35:18,Game ini sangat luar biasa aku bisa mengerjakan ujian dengan soal yang sulit sekalipun .aku sangat bahagia memiliki game ini 😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍😍. Buruan dowloand deh pasti puas 😁😁😁😁😁😁. top banget pokoknya👍👍👍👍👍👍👍👍🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩🤩.
Naomi Miracle,5,2022-09-20 15:07:30,"Saya beruntung bertemu game ini,jika sudah pulang sekolah aku akan langsung memainkannya.mana tahu ada bagian yang di jelaskan guru berkali-kali tapi aku belum ngerti juga/tidak tahu jawabannya😃❤️"
Mariatul Kiftiah,5,2022-09-19 01:41:04,keren aplikasinya bener-bener edukatif dan bagus banget untuk sarana belajar 👍👍
Nahdiah L. Peshar 179,5,2022-09-18 12:13:27,"Bagus banget gamenya, sangat membantu dalam mengasah kemampuan berhitung. Gamenya cocok untuk semua kalangan"
Risya Diyah,5,2022-09-18 08:27:18,Wah beruntung mendapatkan imbalan yang sangat banyak 👏👏 bisa belajar offline gini. Mantab jiwaa!! Semangat ya buat kalian yg baru x ini download game mtk :) aku udah 1 bulan ini 🙏 makasih aku rate 5
Aldeka Andra putra,5,2022-09-15 06:58:41,Aplikasi Ini Baguss 👍🥰 Jadi saya Pintar Belajar MTK Perkurangan Kalo saya Gk bisa perkurangan Dan Tambah tambahan Ada Game Itu yang Selalu!! Membantu kan saya!!! 😍😍 keren Bangettt saya Suka bangettt sama apnya saya Jadi Lancar Deh Tapi kalo Nebak Jadi Berapa Gitu Susah tapi Tetep Berhasil Dari Klas 1 Dan klas 2 saya Juga tetep Bangettt Nyobain gamenya Karena Supaya pinter!!! Oke Karena Aplikasi nya bagus 😎 saya Bakalan kasih Bintang 5 oke Sekian Terimakasih Semuanya!! 😊
Citranurhasanah06 nurhasanah06,5,2022-09-14 12:30:57,"Bagus, anak saya suka jdi bermain Hp smbil belajar, & sekarang sudah paham caranya pembagian Sangat Membantu sekali App ini Terimakasih"
Verlinda Lestary,5,2022-09-13 08:35:36,Game ya bagus sekali game ini juga bisa untuk melatih perkalian atu pembagian kalian harus download sekarang juga deh👍👍
Jian Nouffal,4,2022-09-09 10:39:35,Sangat bermanfaat bagi anak kami. Tapi tambahin cara rumusnya biar c anak mudah mengerti. Terimakasih
Sumiati Muhammad,5,2022-09-06 06:58:17,"Matematika bagus matapelajaran kelas 5 SD Mi Nurul huda (Minuha)Hebat,Cerdas, Dan Bertaqwa selamat mencobanya!"
Delta Start,5,2022-08-30 01:20:10,"Akan lebih mantap lagi jika simbol -,+,x pada operasi susun ditaroh di sebelah kanan posisinya... Kereeeeennnn gamenya sangat edukatif.."
Indri Indri,5,2022-08-23 05:12:52,Halo perkenalkan nama saya Sinta indri ani panggilannya indri. Permainannya bagus kok tapi yang kelas 6 desimal atau apa mohon ditambahkan lagi ya 🙏🙏🙏
pijah,5,2022-08-21 09:37:39,Game matematika ini sangat bermanfaat untuk saya untuk belajar saya sebagai kelas 4 sangat suka belajar dengan aplikasi ini saya menggunakan HP ayah saya
Hafshah,5,2022-08-20 11:08:17,"Jujur setelah aku make aplikasi ini aku jd jago matematika dan walau harus di rutinin belajar nya, dan setelah aku membaca cerita dari aplikasi ini aku jd semangat agar orang tua aku bangga anaknya yang berperstasi makasih banget yang udah buat game ini"
Hackim Hackim,5,2022-08-19 08:49:06,Mantap . Ini app enggak mengecewakan. Pertama coba enggak ada iklan .semoga selanjutnya seperti itu
Pewee,5,2022-08-17 05:17:54,"Ini sangat membantu saya dalam Penilaian Harian Matematika! Apalagi yang Menghitung Campuran, itu sangat membantu! Tapi saya saran untuk menambahkan untuk yang kelas 6 ditambahkan yang Bilangan Bulat jadi ada menghitung campuran Bilangan Bulat juga,ada yang garis bilangan juga, dan soal cerita ditambahin juga dong😃 soalnya menghitung campuran Bilangan bulat dan soal cerita itu kelemahan saya, jika itu semua ditambahkan, itu akan sangat membantu saya dan orang lain! Sekian itu saja Terimakasih😄"
aina Arsila,5,2022-08-14 14:04:20,"Game ini sangat bagus . Dan bermanfaat,dan berguna. semoga yang buat game ini saya doakan agar semua lancar.dan tambahkan Rizki amin yarobal alamin. Tolong tambahin penjumlahan % ya tolong yaaa. ok wasalamualaikum wbr terima kasih telah membuat game ini .saya sangat suka."
Vierine Chloe housteen,5,2022-08-13 15:30:36,Game ini bisa membuat orang yang kurang belajar jadi sangat pintar game ini pun kempunyai cara untuk mengetahui jawaban dan ada cara mempelajarinya jadi orang bisa nherti jika soalnya terlalu susah atau susah diketahui terima kasih atas game ini
Muhammad Fikri,5,2022-08-13 12:17:59,ini membantu banget buat anak-anak yang sekolah misalnya gak tau perkalian pertambahan dan lain-lain yang masih belum paham ya 👍 dan saya memakai ini buat anak saya yang tidak tau perkalian akhirnya anak saya mencoba dan bisa
Che Meng,5,2022-08-08 05:43:00,"Sangat bagus dan bermanfaat sekali tapi kadang penilaian akhir tidak tepat, karna saya sengaja salah 4, tapi tertera betul 8 dan salah 2...., semoga dapat disempurnakan dan berguna bagi semua, serta ladang amal yang terus mengalir untuk sang pembuat..., aamiin.... ."
ria ria,5,2022-08-06 02:00:45,"Bagus banget,, tampilan bagus, ada cara pengerjaan juga. Cocok banget untuk anak2 menyukai matematika"
Om Ilik,5,2022-08-03 12:44:40,"Gamenya bikin aku pandai aku rekomendasikan game ini apa lagi bagi yang belum tau perkalian, pembagian, pengurangan, pertambahan, dan pecahan"
Adelin Dimu,5,2022-07-26 21:46:48,Terimakasih untuk app yang luar biasa ini. Sangat bermanfaat dan semoga terus berkembang semakin besar untuk kebaikan anak2 di seluruh dunia🙏🙏🙏
Milda Herlina,4,2022-07-24 07:07:14,Assalamualaikum aku suka game ini karna mengasah otak dan membuat kita pintar tapi kalau anak kecil yg main pasti gak ngerti karena gak ada suara saat pelajari pasti anak kecil gak akan ngerti wassalamu'alaikum
Arka Belinyu,5,2022-07-20 13:28:40,Wah bagus ya)anak saya yang jelas 4 bisa menghitung dengan cara di sendiri tanpa bantuan kami Lo tapi ada juga dia yang susah banget itu aku ajarin nah lama Kelamaan dia bisa sendiri ☺️deh
Imel Amelia,5,2022-07-18 03:56:26,"Ini sangat membantu, dari yg tidak pintar menjadi pintar, sy sngt suka sama aplkasi ini,,keren"
dediman putra,5,2022-07-16 18:38:12,Sangat bagus. Bisa belajar anak mandiri. Krna ada tutorialnya.
Azizah Damayanti,5,2022-07-08 12:21:57,Sebenernya bengen tanya ini g bayar kan?kalo g bayar menurutku aplikasi ini bagus buat anak SD kalo misalkan ada biaya atau disuruh bayar kek nya jangan soal nya masih SD pasti yang download ini anak² SD
Dwi Cahyono,5,2022-07-07 12:28:28,"Terima kasih atas aplikasi ini. Semoga amal ibadahnya menemani anda di hari akhir nanti. Saran, tolong tambahkan soal latihan acak pada penjumlahan dan pengurangan secara acak. Karena anak saya bisa menjawab soal dengan mudah dengan menjawab urut hasil soalnya. Tapi ketika ditanya secara acak dia masih menghitung. Anak saya baru tk B. Belajar penjumlahan dan pengurangan 1digit. Tapi bisa jawab semua dengan mengurutkan hasil jawaban saja pada pilihan jawaban. Terima kasih"
Festri Sumarlin,5,2022-07-06 01:55:38,Saya suka game nya karna game nya menbantu saya dalam blajar adik saya juga suka semoga bisa bermanfaat buat saudara dirumah😊
Warni Warni,5,2022-06-29 10:02:36,"Wow bagus banget ,alhambulilah aku dapat rangking 1 apk ini sangat berguna aku udah kasih tau temen ku untuk download kata nya aplikasi nya bagus banget tapi ada yang protes karna gak bisa ngerjainnya ,dia bilang gini nis ini apk apa sih kok susah banget, dan terus aku ajarkan dia main ini dan kata nya seru banget aku dah kasih bintang lima 🌟🌟🌟🌟🌟 dan semoga apk ini membantu anak anak yang sedang umur 5-12 ,semangat ya kak buat apk nya 😊👍👍"
ela natalia,5,2022-06-25 01:54:24,"Aplikasi yang sangat bagus, alhamdulillah sangat berguna, hampir 500 siswa sy disekolah mau sy suruh download aplikasi ini, karena sangat membantu sekali untuk dasar matematika dan kecepatan menghitung"
tuti nurbaeti,5,2022-06-20 01:55:43,Game ini bagus sekali bisa mengasah kepintaran anak anak dari kelas 1 sampai 6 SD bagus banget sih ni game makasih ya AppStudios karena telah membuat aplikasi ini bintang 5 deh🥰
Hartando Christo,5,2022-06-12 15:13:14,Keren aplikasi dapat membuat saya ingat kembali tentang penjumlahan pecahan dan lain lainnya dan aplikasi nya mudah dipahami terima kasih sudah membuat aplikasi game matematika ini sangat bermanfaat 🙏
Johnny ngke,5,2022-06-12 04:59:27,Terima kasih buat Aplikasi Game matematikanya semoga bisa membantu anak saya untuk giat belajar berhitung dst.
Wahyu Ramadhan,5,2022-06-09 14:35:00,"Trimakasih atas aplikasi,bisa membantu anak aku lebih giat lagi buat belajar matematika,walaupun udah bisa pengurangan n pertambahn mumpung masi kls 1 jd Harus d asa lagi🙏🙏"
Edy Purnomo,4,2022-06-08 11:48:36,Game nya bi jadi pintar juga ya padahal yg aplikasi lainnya jadi sulit (1+1)digit dikirain 1+1 malah 9+19
Erina Dianti,5,2022-06-07 12:37:03,Bagus sekali permainan nya bisa mengasah otak saya o iya nama ku Aditya umurku sepuluh kls IV (EMPAT) makasih yang buat game aku besok pas ulangan matematika makasih ya yang buat game
Septi Wulandari,5,2022-06-05 12:09:47,Game matematika ini dapat membuat saya menjadi pintar matematika wahhh sangat membantu sekali
handa yani,5,2022-06-04 07:10:34,Kak sumpah ini itu game nya bagus banget ini wajib soal nya ini bisa buat belajar yang belum bisa matematika
Anindita Rafifah Artanti,5,2022-06-03 13:04:13,Terima kasih yang buat game matematika JD sy dapat lebih mudah mengetahui matematika yang awalnya sy tidak mengerti sekarang sudah mengerti Thank you/terima kasih🙏🙏
Samsinar Sinar,5,2022-06-01 13:12:04,Hai perkenalkan nama saya sinar saya suka sekali aplikasi ini karna sebenarnya saya suka sekali pelajaran matematika tapi boong jelek
auni naqiya,5,2022-05-27 17:02:06,YA Allah ngebantu banget ngajarin anak ku dari basic.ada contoh yg memudahkan nya lagi.luar biasa banget ide aplikasi ini.sukses terus buat team developernya
Masamah Ismail,5,2022-05-23 12:56:59,Ini kenapa aku mau download tapi gak bisa baru 99% eh malah mengiong terus berulang kali aku download kayaknya delivornya sengaja supaya aku gak bisa download
Achmad Junaidi Hidayat,5,2022-05-23 05:56:22,"Sangat membantu, ditambah tujuannya tidak untuk mencari keuntungan...insyaAllah dinilai sebagai amal ibadah. Semoga diberikan keberkahan"
Belicia Talita Sakhi,5,2022-05-16 11:11:57,Bagus banget game nya bikin aku pintar hehehe dan aku sudah bintang 5 hehehe suka banget deh jadi kepengen belajar lagi deh hehehe aku uda pelajari game ini ❤️❤️❤️ pokok nya bagus💕💕💕😍😍🥰🥰❤️❤️❤️♥️♥️
Vita Aprilia,5,2022-05-15 11:23:27,"Aplikasi yang sangat membantu untuk anak-anak, dan untuk pilihan latihan soal mulai dari matematika penjumlahan sampai aljabar ada, untuk pilihan kelas 1-6 SD. Terimakasih"
LelatulAzizah Ella,3,2022-05-15 03:33:24,Aplikasi nya bagus banget bisa untuk belajar Aku dikelas terkenal ga bisa matematika tapi ada aplikasi ini lebih mudah untuk belajar
Eni Satri,5,2022-05-09 01:32:58,Aplikasi nya sangat bagus ayo downlot aplikasinya buat kita pinter dan aplikasi nya tidak buruk aya downlot sekarang aplikqsi nya sangat bagus loh cepetan downlot bisa buat anak kalian dan bisa juga untuk anak ke 1 mu loh
Sani Syarif,5,2022-05-02 03:56:05,Sangat bermanfaat game ini bisa membantu kita dalam matematika dan seruuuu sekali
Ghina Zakiya,5,2022-04-29 15:20:23,Aku suka banget sama game ini aku udah mau kelas 3 SD tapi aku belum bisa matematika terus aku ketemu game ini jadi aku instal game ini yang buat game ini makasih banyak 🙏
muhammad irfan,5,2022-04-25 02:55:03,"Terimaksih yang buat game matematika ini 🙏 ... karena game matematika ini saya jadi lebih mudah mengetahui penjumlahan ,pembagian,pengurangan,ddan perkalian ... dan kenalin namaku ***** umurku 10 tahun ... thank you/ terima kasih byeee"
Wakidi Garuda9,5,2022-04-19 10:30:56,Geme nya bagus banget dan bermanfat semoga aplikasi ini tambah berkembang dan bermanfaat bagi semua orang aminnnnnn....😊
Vinta Mella,5,2022-04-14 05:17:36,Terima kasih banget sama devoloper nya yang telah menciptakan games ini saya yang dulu tidak mengerti matematika jadi mengerti matematika terima kasih sampai jumpa
Nabilah Wazhfadini.u,5,2022-03-24 06:17:07,Seru banget game nya dan menyenangkan . Jadi aku tau matematika sampai sekarang Coba update terbaru lagi biar lebih menyenangkan dan seru adik aku juga suka dan dia sudah tahu matematika Makasih ya yang buat game nya makasih ya
Ellena sey Ellena,5,2022-03-16 10:46:16,"Ini berguna sekali untuk Memahami Matematika karna Terdapat cara Setiap Temany di Matematika ini, And bisa langsung aja download guys Ini Berguna bagi yang mau nilai Matematika nya Naik/Lebih bagus"
Leha Oktalim,5,2022-03-15 14:56:05,Terimakasih sekali sangat membantu untuk belajar anakku semoga nanti bisa di upgrade dan di lengkapi untuk logaritma dan sebagainya semangat 🥳
haee hanun,5,2022-03-12 10:46:09,saya jadi tau perkalian pembagian penggurangan karena game ini dulu saya di katain bodo kalau di kelas karena selalu tidak dapat renking kalau ujian matematika karena game ini saya jadi tau matematika terima kasih sudah membuat saya jadi tau matematika
Erna T S,5,2022-03-09 13:48:25,"Bagus sekali , sangat membantu orangtua dalam mengajak anak berlatih matematika. Game yang menyenangkan dan sangat edukatif bagi anak."
Joshua Manaroinsong,5,2022-03-07 19:52:18,Lumayan ini untuk gamenya untuk belajar menghitung lagi bagi yang sudah lupa berhitung😂😂
Mai saroh Saroh,5,2022-03-07 13:56:13,Game ini baguss banget lucu lagi ini bisa jadi pengetahuan ayo yg blm dowload langsung dowload aja ngga bakal rugi kl game nya jelek game nya bagusss banget!!!!!!!!!!!!!!!!!!!!!!
Yono Panji,5,2022-03-02 13:09:48,Saya kasih bintang 5 karena sudah membuat saya pintar dalam pelajaran matematika terima kasih banyak telah menciptakan game ini makasih banyak semoga bisa membantu semua orang dan bermanfaat 👍👍
aisyah,5,2022-02-28 12:39:24,"Hai nama saya Aisyah, terimakasih telah membuat game matematika ini. Dulu di kelas saya payah dalam belajar matematika perkalian...sejak saya belajar dengan game ini. Alhamdulillah sekarang saya cukup pintar matematika.kadang²nilai ku 30,40,20,50. Sekali lagi terimakasih..."
jabidi ufix,5,2022-02-19 06:08:13,Game ini seru bangettttttttt dulunya aku di bilangin sama teman² aku bodoh gara² game ini aku maenjadi bisa awalnya aku gk bisa perkalian sekarang aku bisa perkalian makasih yg punya aplikasi ini
